-- 근태
-- dml - Attendance1.sql
-- depth4
-- 작성자: 김민도

-- 기준일: 2026-02-06 (금)
-- 휴일 및 년도별 공휴일에는 데이터값 입력하지 않았음
-- 오전입실 확률 85% / 오후입실 확률 10% / 병가확률 5%(입실,퇴실 없음)
-- 오전입실 '정상'(attendanceTypeSeq=1) 입실(8시30분~8시59분59초) -> 퇴실(17시50분~17시59분59초) 확률 90% / '조퇴'(attendanceTypeSeq=4) 퇴실(16시50분~16시59분59초) 확률 10%
-- 오후입실 '지각'(attendanceTypeSeq=2) 입실(14시00분~14시59분59초) 퇴실(17시50분~17시59분59초)
-- '병가'(attendanceTypeSeq=5)

-- registeredCourseSeq 1, java 과정
-- 2024-01-02 시작 ~ 2024-06-30 종료
-- 1강의실 30/30명
INSERT INTO ATTENDANCE VALUES (1, TO_DATE('2024-01-02', 'YYYY-MM-DD'), TO_DATE('2024-01-02 08:07:07', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-02 17:55:01', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (12, TO_DATE('2024-01-17', 'YYYY-MM-DD'), TO_DATE('2024-01-17 08:25:30', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-17 16:56:22', 'YYYY-MM-DD HH24:MI:SS'), 1, 4);
INSERT INTO ATTENDANCE VALUES (13, TO_DATE('2024-01-18', 'YYYY-MM-DD'), TO_DATE('2024-01-18 08:15:12', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-18 17:51:09', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (14, TO_DATE('2024-01-19', 'YYYY-MM-DD'), TO_DATE('2024-01-19 14:34:45', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-19 17:52:14', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (15, TO_DATE('2024-01-22', 'YYYY-MM-DD'), TO_DATE('2024-01-22 08:00:24', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-22 17:59:47', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (16, TO_DATE('2024-01-23', 'YYYY-MM-DD'), TO_DATE('2024-01-23 08:07:47', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-23 17:51:54', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (17, TO_DATE('2024-01-24', 'YYYY-MM-DD'), TO_DATE('2024-01-24 14:05:10', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-24 17:53:13', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (18, TO_DATE('2024-01-25', 'YYYY-MM-DD'), TO_DATE('2024-01-25 08:08:20', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-25 17:52:09', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (19, TO_DATE('2024-01-26', 'YYYY-MM-DD'), TO_DATE('2024-01-26 08:03:56', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-26 17:53:11', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (20, TO_DATE('2024-01-29', 'YYYY-MM-DD'), TO_DATE('2024-01-29 08:10:52', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-29 17:57:40', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (21, TO_DATE('2024-01-30', 'YYYY-MM-DD'), TO_DATE('2024-01-30 08:15:34', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-30 17:54:21', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (22, TO_DATE('2024-01-31', 'YYYY-MM-DD'), TO_DATE('2024-01-31 08:15:44', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-01-31 17:51:48', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (23, TO_DATE('2024-02-01', 'YYYY-MM-DD'), TO_DATE('2024-02-01 08:09:27', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-01 17:58:44', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (24, TO_DATE('2024-02-02', 'YYYY-MM-DD'), TO_DATE('2024-02-02 08:25:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-02 17:57:09', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (25, TO_DATE('2024-02-05', 'YYYY-MM-DD'), TO_DATE('2024-02-05 08:29:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-05 17:57:46', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (26, TO_DATE('2024-02-06', 'YYYY-MM-DD'), TO_DATE('2024-02-06 14:09:44', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-06 17:54:28', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (27, TO_DATE('2024-02-07', 'YYYY-MM-DD'), TO_DATE('2024-02-07 14:11:43', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-07 17:55:33', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (28, TO_DATE('2024-02-08', 'YYYY-MM-DD'), TO_DATE('2024-02-08 08:10:04', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-08 17:50:11', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (29, TO_DATE('2024-02-13', 'YYYY-MM-DD'), TO_DATE('2024-02-13 08:24:51', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-13 17:51:41', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (30, TO_DATE('2024-02-14', 'YYYY-MM-DD'), TO_DATE('2024-02-14 08:18:12', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-14 17:51:11', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (31, TO_DATE('2024-02-15', 'YYYY-MM-DD'), TO_DATE('2024-02-15 08:20:23', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-15 17:59:42', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (32, TO_DATE('2024-02-16', 'YYYY-MM-DD'), TO_DATE('2024-02-16 08:05:33', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-16 17:50:41', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (33, TO_DATE('2024-02-19', 'YYYY-MM-DD'), TO_DATE('2024-02-19 08:06:16', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-19 17:54:23', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (34, TO_DATE('2024-02-20', 'YYYY-MM-DD'), TO_DATE('2024-02-20 08:29:29', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-20 17:56:55', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (35, TO_DATE('2024-02-21', 'YYYY-MM-DD'), TO_DATE('2024-02-21 08:04:02', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-21 17:51:37', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (36, TO_DATE('2024-02-22', 'YYYY-MM-DD'), TO_DATE('2024-02-22 08:15:17', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-22 17:59:38', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (37, TO_DATE('2024-02-23', 'YYYY-MM-DD'), TO_DATE('2024-02-23 08:23:40', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-23 17:50:05', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (38, TO_DATE('2024-02-26', 'YYYY-MM-DD'), TO_DATE('2024-02-26 08:21:33', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-26 17:58:15', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (39, TO_DATE('2024-02-27', 'YYYY-MM-DD'), NULL, NULL, 1, 5);
INSERT INTO ATTENDANCE VALUES (40, TO_DATE('2024-02-28', 'YYYY-MM-DD'), TO_DATE('2024-02-28 14:54:16', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-28 17:57:28', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (41, TO_DATE('2024-02-29', 'YYYY-MM-DD'), TO_DATE('2024-02-29 08:18:32', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-02-29 17:52:48', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (42, TO_DATE('2024-03-04', 'YYYY-MM-DD'), TO_DATE('2024-03-04 08:19:28', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-04 17:52:21', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (43, TO_DATE('2024-03-05', 'YYYY-MM-DD'), TO_DATE('2024-03-05 08:26:08', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-05 17:50:38', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (44, TO_DATE('2024-03-06', 'YYYY-MM-DD'), TO_DATE('2024-03-06 08:29:57', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-06 17:56:43', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (45, TO_DATE('2024-03-07', 'YYYY-MM-DD'), TO_DATE('2024-03-07 08:10:01', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-07 17:52:35', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (46, TO_DATE('2024-03-08', 'YYYY-MM-DD'), TO_DATE('2024-03-08 08:14:01', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-08 17:59:59', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (47, TO_DATE('2024-03-11', 'YYYY-MM-DD'), TO_DATE('2024-03-11 08:24:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-11 17:58:33', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (48, TO_DATE('2024-03-12', 'YYYY-MM-DD'), TO_DATE('2024-03-12 08:04:09', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-12 17:51:33', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (49, TO_DATE('2024-03-13', 'YYYY-MM-DD'), TO_DATE('2024-03-13 08:17:34', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-13 17:57:39', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (50, TO_DATE('2024-03-14', 'YYYY-MM-DD'), TO_DATE('2024-03-14 08:25:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-14 17:56:30', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (51, TO_DATE('2024-03-15', 'YYYY-MM-DD'), TO_DATE('2024-03-15 08:00:09', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-15 17:54:49', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (52, TO_DATE('2024-03-18', 'YYYY-MM-DD'), TO_DATE('2024-03-18 14:27:34', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-18 17:57:42', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (53, TO_DATE('2024-03-19', 'YYYY-MM-DD'), TO_DATE('2024-03-19 14:31:46', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-19 17:53:19', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (54, TO_DATE('2024-03-20', 'YYYY-MM-DD'), TO_DATE('2024-03-20 08:19:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-20 17:57:22', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (55, TO_DATE('2024-03-21', 'YYYY-MM-DD'), TO_DATE('2024-03-21 08:13:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-21 17:57:21', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (56, TO_DATE('2024-03-22', 'YYYY-MM-DD'), TO_DATE('2024-03-22 08:20:18', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-22 17:59:23', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (57, TO_DATE('2024-03-25', 'YYYY-MM-DD'), TO_DATE('2024-03-25 08:09:08', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-25 17:54:10', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (58, TO_DATE('2024-03-26', 'YYYY-MM-DD'), TO_DATE('2024-03-26 08:11:03', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-26 17:51:34', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (59, TO_DATE('2024-03-27', 'YYYY-MM-DD'), TO_DATE('2024-03-27 14:03:55', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-27 17:56:27', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (60, TO_DATE('2024-03-28', 'YYYY-MM-DD'), TO_DATE('2024-03-28 08:11:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-28 17:56:57', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (61, TO_DATE('2024-03-29', 'YYYY-MM-DD'), TO_DATE('2024-03-29 08:29:28', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-03-29 16:50:43', 'YYYY-MM-DD HH24:MI:SS'), 1, 4);
INSERT INTO ATTENDANCE VALUES (62, TO_DATE('2024-04-01', 'YYYY-MM-DD'), TO_DATE('2024-04-01 08:01:59', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-01 16:54:58', 'YYYY-MM-DD HH24:MI:SS'), 1, 4);
INSERT INTO ATTENDANCE VALUES (63, TO_DATE('2024-04-02', 'YYYY-MM-DD'), TO_DATE('2024-04-02 14:31:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-02 17:52:50', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (64, TO_DATE('2024-04-03', 'YYYY-MM-DD'), TO_DATE('2024-04-03 08:16:59', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-03 16:52:19', 'YYYY-MM-DD HH24:MI:SS'), 1, 4);
INSERT INTO ATTENDANCE VALUES (65, TO_DATE('2024-04-04', 'YYYY-MM-DD'), TO_DATE('2024-04-04 08:13:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-04 17:59:15', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (66, TO_DATE('2024-04-05', 'YYYY-MM-DD'), TO_DATE('2024-04-05 08:12:33', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-05 17:59:30', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (67, TO_DATE('2024-04-08', 'YYYY-MM-DD'), TO_DATE('2024-04-08 14:38:20', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-08 17:59:01', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (68, TO_DATE('2024-04-09', 'YYYY-MM-DD'), NULL, NULL, 1, 5);
INSERT INTO ATTENDANCE VALUES (69, TO_DATE('2024-04-11', 'YYYY-MM-DD'), TO_DATE('2024-04-11 08:16:13', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-11 17:56:31', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (70, TO_DATE('2024-04-12', 'YYYY-MM-DD'), TO_DATE('2024-04-12 14:11:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-12 17:58:26', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (71, TO_DATE('2024-04-15', 'YYYY-MM-DD'), TO_DATE('2024-04-15 08:20:08', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-15 17:56:26', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (72, TO_DATE('2024-04-16', 'YYYY-MM-DD'), TO_DATE('2024-04-16 08:07:24', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-16 17:54:55', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (73, TO_DATE('2024-04-17', 'YYYY-MM-DD'), TO_DATE('2024-04-17 08:19:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-17 17:52:17', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (74, TO_DATE('2024-04-18', 'YYYY-MM-DD'), TO_DATE('2024-04-18 08:20:06', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-18 17:52:11', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (75, TO_DATE('2024-04-19', 'YYYY-MM-DD'), TO_DATE('2024-04-19 08:20:21', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-19 17:57:17', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (76, TO_DATE('2024-04-22', 'YYYY-MM-DD'), TO_DATE('2024-04-22 08:01:13', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-22 17:59:18', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (77, TO_DATE('2024-04-23', 'YYYY-MM-DD'), TO_DATE('2024-04-23 08:00:41', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-23 17:51:53', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (78, TO_DATE('2024-04-24', 'YYYY-MM-DD'), TO_DATE('2024-04-24 08:00:04', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-24 17:54:52', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (79, TO_DATE('2024-04-25', 'YYYY-MM-DD'), TO_DATE('2024-04-25 08:22:37', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-25 17:56:38', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (80, TO_DATE('2024-04-26', 'YYYY-MM-DD'), TO_DATE('2024-04-26 08:27:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-26 17:56:01', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (81, TO_DATE('2024-04-29', 'YYYY-MM-DD'), TO_DATE('2024-04-29 14:59:03', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-29 17:53:50', 'YYYY-MM-DD HH24:MI:SS'), 1, 2);
INSERT INTO ATTENDANCE VALUES (82, TO_DATE('2024-04-30', 'YYYY-MM-DD'), TO_DATE('2024-04-30 08:17:45', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-04-30 17:58:28', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (83, TO_DATE('2024-05-01', 'YYYY-MM-DD'), TO_DATE('2024-05-01 08:10:45', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-01 17:54:02', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (84, TO_DATE('2024-05-02', 'YYYY-MM-DD'), TO_DATE('2024-05-02 08:15:01', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-02 17:56:30', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (85, TO_DATE('2024-05-03', 'YYYY-MM-DD'), TO_DATE('2024-05-03 08:19:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-03 17:50:45', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (86, TO_DATE('2024-05-07', 'YYYY-MM-DD'), TO_DATE('2024-05-07 08:09:02', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-07 17:58:59', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (87, TO_DATE('2024-05-08', 'YYYY-MM-DD'), TO_DATE('2024-05-08 08:15:04', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-08 16:55:59', 'YYYY-MM-DD HH24:MI:SS'), 1, 4);
INSERT INTO ATTENDANCE VALUES (88, TO_DATE('2024-05-09', 'YYYY-MM-DD'), TO_DATE('2024-05-09 08:24:42', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-09 17:58:49', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (89, TO_DATE('2024-05-10', 'YYYY-MM-DD'), TO_DATE('2024-05-10 08:15:06', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-10 17:58:08', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (90, TO_DATE('2024-05-13', 'YYYY-MM-DD'), TO_DATE('2024-05-13 08:28:33', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-13 17:59:17', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (91, TO_DATE('2024-05-14', 'YYYY-MM-DD'), TO_DATE('2024-05-14 08:23:04', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-14 17:54:32', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
INSERT INTO ATTENDANCE VALUES (92, TO_DATE('2024-05-16', 'YYYY-MM-DD'), NULL, NULL, 1, 5);
INSERT INTO ATTENDANCE VALUES (93, TO_DATE('2024-05-17', 'YYYY-MM-DD'), TO_DATE('2024-05-17 08:09:10', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2024-05-17 17:51:42', 'YYYY-MM-DD HH24:MI:SS'), 1, 1);
